ImageNumber,ObjectNumber,Metadata_Cortex_region,Metadata_Cortex_region,Metadata_FileLocation,Metadata_Frame,Metadata_Iteration,Metadata_Layer,Metadata_Layer,Metadata_Pt_type,Metadata_Pt_type,Metadata_Sample_number,Metadata_Sample_number,Metadata_Series,FileName_Microglia_impression_for_MoBIE,FileName_Pre_IBA1,FileName_ROI_Mask,FileName_ROI_MaskForMobie,PathName_Microglia_impression_for_MoBIE,PathName_Pre_IBA1,PathName_ROI_Mask,PathName_ROI_MaskForMobie,Children_Filtered_Microglia_Soma_Count,Children_Microglia_total_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,31,FC,FC,nan,0,1,1,1,AD,AD,11,11,0,iba1-AD11FCL1.1-normalized_total_label.tiff,iba1-AD11FCL1.1-normalized.tif,mask-AD11FCL1.1.tif,mask-AD11FCL1.1.tiff,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,1,1,464.5425925925926,1011.2777777777778,0,31
1,32,FC,FC,nan,0,1,1,1,AD,AD,11,11,0,iba1-AD11FCL1.1-normalized_total_label.tiff,iba1-AD11FCL1.1-normalized.tif,mask-AD11FCL1.1.tif,mask-AD11FCL1.1.tiff,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,1,1,317.3967684021544,1032.7773788150807,0,32
1,33,FC,FC,nan,0,1,1,1,AD,AD,11,11,0,iba1-AD11FCL1.1-normalized_total_label.tiff,iba1-AD11FCL1.1-normalized.tif,mask-AD11FCL1.1.tif,mask-AD11FCL1.1.tiff,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,1,1,550.3103186646434,1174.7974203338392,0,33
1,34,FC,FC,nan,0,1,1,1,AD,AD,11,11,0,iba1-AD11FCL1.1-normalized_total_label.tiff,iba1-AD11FCL1.1-normalized.tif,mask-AD11FCL1.1.tif,mask-AD11FCL1.1.tiff,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,1,1,756.8056680161943,1346.9608636977057,0,34
1,35,FC,FC,nan,0,1,1,1,AD,AD,11,11,0,iba1-AD11FCL1.1-normalized_total_label.tiff,iba1-AD11FCL1.1-normalized.tif,mask-AD11FCL1.1.tif,mask-AD11FCL1.1.tiff,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,1,1,656.2837078651686,1357.5786516853932,0,35
2,1,FC,FC,nan,0,2,1,1,AD,AD,11,11,0,iba1-AD11FCL1.2-normalized_total_label.tiff,iba1-AD11FCL1.2-normalized.tif,mask-AD11FCL1.2.tif,mask-AD11FCL1.2.tiff,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,1,1,887.0692446043165,165.14118705035972,0,1
2,2,FC,FC,nan,0,2,1,1,AD,AD,11,11,0,iba1-AD11FCL1.2-normalized_total_label.tiff,iba1-AD11FCL1.2-normalized.tif,mask-AD11FCL1.2.tif,mask-AD11FCL1.2.tiff,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,1,1,1021.0304671631686,223.61679079214625,0,2
2,3,FC,FC,nan,0,2,1,1,AD,AD,11,11,0,iba1-AD11FCL1.2-normalized_total_label.tiff,iba1-AD11FCL1.2-normalized.tif,mask-AD11FCL1.2.tif,mask-AD11FCL1.2.tiff,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,0,0,1046.129213483146,193.81460674157304,0,3
2,4,FC,FC,nan,0,2,1,1,AD,AD,11,11,0,iba1-AD11FCL1.2-normalized_total_label.tiff,iba1-AD11FCL1.2-normalized.tif,mask-AD11FCL1.2.tif,mask-AD11FCL1.2.tiff,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,1,1,797.7088353413654,220.4417670682731,0,4
2,5,FC,FC,nan,0,2,1,1,AD,AD,11,11,0,iba1-AD11FCL1.2-normalized_total_label.tiff,iba1-AD11FCL1.2-normalized.tif,mask-AD11FCL1.2.tif,mask-AD11FCL1.2.tiff,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,1,1,721.3010438413361,324.7778705636743,0,5
